Período;Região;Instituição;Localização Geográfica;Nº Atendimentos em Urgência SU Triagem Manchester -Vermelha;Nº Atendimentos em Urgência SU Triagem Manchester -Laranja;Nº Atendimentos em Urgência SU Triagem Manchester -Amarela;Nº Atendimentos em Urgência SU Triagem Manchester -Verde;Nº Atendimentos em Urgência SU Triagem Manchester -Azul;Nº Atendimentos em Urgência SU Triagem Manchester -Branca;Nº Atendimentos s\ Triagem Manchester
2014-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;296;7690;25766;15946;379;2472;20693
2014-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;153;7086;30279;5954;225;2085;75865
2014-12;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;486;18769;73824;101220;1733;390;161
2014-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;1081;32097;76987;138760;5723;11195;1858
2014-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;1229;23445;92237;51197;4676;2220;97306
2014-12;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;115;5430;23712;35121;307;3088;
2014-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;364;12513;44827;25087;1257;1866;211
2015-01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;17;471;3587;2983;11;112;65
2015-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;85;2000;5747;5374;42;546;
2015-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;64;2201;9145;4222;200;1749;70
2015-01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;26;1602;4266;4676;65;373;53
2015-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;39;1306;6883;2999;11;245;7
2015-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;31;668;6128;2362;7;243;3982
2015-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;;;;;;;19235
2015-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;137;2754;10351;10250;987;489;7905
2015-02;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;125;2907;10093;7721;431;0;15
2015-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;133;2693;6205;5364;1117;338;7930
2015-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;51;1510;4122;6873;73;251;
2015-02;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;104;3131;14297;8408;108;1163;128
2015-02;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;40;1522;4187;5448;43;463;
2015-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;255;8979;29616;21562;200;2231;24615
2015-03;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;42;1153;9656;7769;46;333;72
2015-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;197;2544;16872;16150;339;285;25956
2015-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;158;4686;15360;14002;84;1009;9605
2015-03;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;300;8384;19717;31542;1018;2510;765
2015-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;71;2636;10252;1915;71;669;22804
2015-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;;;;;;;32727
2015-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;62;1173;11890;4474;17;516;7215
2015-04;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;49;1487;12690;10122;67;422;75
2015-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;68;2056;11785;7538;69;471;
2015-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;128;3159;12093;10852;479;448;23391
2015-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;375;7598;27896;13809;1057;681;30306
2015-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;149;5992;24101;11870;302;903;35
2015-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;103;5000;16053;17920;267;1581;181
2015-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;197;7810;24986;21575;126;330;
2015-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;;;;;;;44107
2015-05;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;219;6013;20419;17574;122;1615;27627
2015-05;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;196;6507;23327;36441;360;779;4
2015-05;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;309;6673;15995;13921;3032;723;20072
2015-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;100;3007;10432;16663;244;615;
2015-05;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;340;8549;44991;25599;583;;264
2015-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;96;3789;15023;3214;175;1014;32398
2015-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;438;16086;55681;41163;388;4222;53654
2015-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;;;;;;;52102
2015-06;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;230;7578;27777;43546;451;907;4
2015-06;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;237;8892;36683;52102;812;188;128
2015-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;361;8017;19486;17020;3635;848;23817
2015-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;290;9555;47989;21189;1308;8606;493
2015-06;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;133;7293;23397;27791;463;2387;233
2015-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;86;3471;12355;16135;134;1421;
2015-07;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;91;2475;22008;17274;139;792;94
2015-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;215;9983;42454;20687;559;1505;50
2015-07;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;338;11160;56032;24721;1528;10089;577
2015-07;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;468;11639;63092;36224;906;;371
2015-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;232;7357;25923;13966;698;1785;100
2015-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;283;11967;43568;37608;261;500;
2015-08;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;;;;;;;47748
2015-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;313;4901;23496;13142;308;2434;49157
2015-08;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;253;6995;29555;15208;166;3189;36452
2015-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;605;12223;39856;39153;367;3446;
2015-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;292;11318;48232;68408;1210;244;147
2015-08;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;693;14783;57754;29678;2224;1290;58324
2015-08;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;242;11095;47733;23378;640;1751;89
2015-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;145;4243;16710;26631;399;1038;
2015-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;528;13144;72332;41440;1068;;433
2015-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;269;8387;29668;16005;786;2066;114
2015-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;;;;;;;54390
2015-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;140;5657;23563;5948;425;1573;42995
2015-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;494;9131;72079;60118;1471;1510;
2015-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;494;13889;46443;30167;618;4754;39169
2015-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;244;6546;27668;26163;1352;1123;48499
2015-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;342;8664;31810;25882;199;2559;62241
2015-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;596;11611;47848;51588;4918;2289;33068
2015-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;315;10856;40233;64851;762;1302;0
2015-09;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;320;12703;54232;76469;1370;277;162
2015-09;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;307;11748;40090;32899;281;2351;5563
2015-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;504;11786;30253;27030;5557;1208;33765
2015-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;893;15099;59143;58545;337;5764;11036
2015-09;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;371;12250;67262;39459;506;5739;502
2015-09;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;190;9954;33933;42580;710;3624;416
2015-09;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;121;4648;18104;23912;220;2160;
2015-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;364;15167;56325;48629;343;648;
2015-10;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;123;3429;31364;24343;223;1161;116
2015-10;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;357;14180;60496;85963;1562;309;171
2015-10;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;169;5022;20771;33126;480;1259;
2015-10;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;977;16579;66149;65516;374;6435;12313
2015-11;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;138;2672;32898;12017;59;1392;17931
2015-11;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;135;3787;34148;26680;237;1276;120
2015-11;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;137;4461;32497;19251;646;1321;
2015-11;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;373;9702;35878;29237;229;3069;83182
2015-11;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;396;15726;66724;95227;1766;345;191
2015-11;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;443;14692;82316;47780;624;6986;631
2015-11;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;228;12070;41358;53003;834;4465;500
2015-11;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;706;17829;99685;57138;1469;;576
2015-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;345;9993;27200;10625;524;3040;20613
2015-12;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;149;4129;37186;29207;252;1405;123
2015-12;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;467;7452;35239;19367;440;3560;74627
2015-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;493;16099;89774;52461;684;7608;694
2015-12;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;149;5825;24422;33053;312;2935;
2016-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;20;828;2976;1232;90;196;4622
2016-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;60;1114;8861;7500;186;185;
2016-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;92;2225;8000;4161;42;482;5
2016-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;27;808;3310;2912;123;139;6376
2016-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;35;1026;3942;1909;48;349;5412
2016-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;43;1915;5401;7317;92;158;
2016-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;40;1543;4988;4398;23;230;617
2016-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;97;3478;7993;10981;399;890;92
2016-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;17;493;2119;3353;40;123;
2016-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;;;;;;;12629
2016-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;27;1488;5557;2362;180;400;8598
2016-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;20;989;4338;2642;22;249;7844
2016-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;17;499;6015;2446;13;232;3766
2016-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;62;1917;7400;7032;105;528;644
2016-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;127;2697;11421;11976;1061;602;8896
2016-02;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;85;3327;10992;8681;578;1;12
2016-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;200;4021;14566;6258;509;291;16125
2016-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;198;3616;13633;13477;114;1510;2381
2016-02;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;20;957;4083;5596;91;620;
2016-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;28;1523;6713;4069;41;405;11783
2016-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;91;2746;8470;11752;100;625;
2016-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;27;822;9262;3652;22;359;5595
2016-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;370;8288;28179;11301;155;260;24698
2016-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;154;5334;18730;14527;851;1621;3426
2016-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;240;4951;15365;16661;203;1092;
2016-03;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;116;4346;14180;11919;71;578;1741
2016-03;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;49;1630;6148;10353;85;342;
2016-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;90;3858;10345;5049;702;1470;32
2016-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;115;3166;12628;11291;531;487;24378
2016-04;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;124;3900;15519;7570;133;1263;20543
2016-04;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;330;6293;20830;21723;345;1596;
2016-04;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;164;6381;25625;36612;585;155;43
2016-04;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;165;5853;22023;17791;1305;61;21
2016-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;401;7976;30353;13209;1083;834;32970
2016-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;119;5113;13828;6983;932;1947;39
2016-05;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;52;1300;15217;6104;43;613;9431
2016-05;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;610;13345;47420;19927;352;540;40852
2016-05;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;73;1735;15369;13228;76;680;34
2016-05;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;158;3383;15496;7553;162;1410;33758
2016-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;495;9913;38126;17051;1407;1065;41459
2016-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;107;4667;21145;24977;492;1980;326
2016-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;214;6200;15296;12653;700;0;2900
2016-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;59;3194;14078;8534;87;849;22813
2016-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;387;5703;37515;32069;2007;590;53220
2016-06;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;476;17371;44179;64772;2600;4987;366
2016-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;317;7479;20909;20899;4118;984;26098
2016-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;66;2578;13179;17350;299;1707;
2016-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;170;5135;26745;25834;1093;1728;2435
2016-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;458;6619;44087;37923;2366;680;60921
2016-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;272;10298;44763;64395;1081;285;71
2016-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;224;9426;34491;27242;195;1296;4101
2016-07;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;688;13771;54439;24985;2060;1398;55745
2016-07;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;527;9547;50921;10808;889;910;9704
2016-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;205;8831;24809;13389;1506;3564;79
2016-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;222;5535;25005;12249;270;2237;50783
2016-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;546;10685;46663;51720;4541;2510;32678
2016-08;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;595;10847;58545;12592;1002;1072;11331
2016-08;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;702;16146;53516;21754;972;25279;1399
2016-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;532;12051;80174;44774;1408;;427
2016-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;231;6476;45031;21439;665;3054;186
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;94;4311;21279;13366;118;1155;35262
2016-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;515;9606;76156;64003;1580;1589;
2016-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;447;14044;55912;39890;2321;5518;12264
2016-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;489;11364;32096;32751;6299;1388;36963
2016-09;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;769;18308;60185;23924;1153;27731;1430
2016-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;787;14733;60995;62423;595;6159;11397
2016-09;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;584;13421;89333;50225;1647;;480
2016-10;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;294;9060;24832;20433;1066;3005;3878
2016-10;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;105;2566;30714;11508;83;1283;16817
2016-10;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;122;3346;31856;25658;162;1023;75
2016-10;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;144;3287;30858;19584;572;1266;
2016-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;315;9515;39946;19956;381;2811;47824
2016-10;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;731;13584;73575;16306;1252;1328;13402
2016-10;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;813;15369;66528;70053;619;6420;14087
2016-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;404;15304;69744;50611;719;1291;
2016-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;153;7967;33972;12521;894;1498;41829
2016-11;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;754;22302;85515;43869;634;5058;97
2016-11;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;1315;29483;103782;45114;2123;1066;85802
2016-11;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;287;8401;35956;31844;1619;1236;63815
2016-11;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;345;14405;54520;41829;296;1907;6670
2016-11;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;771;31583;81528;120462;4776;9012;647
2016-11;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;454;14602;91005;40898;1205;16327;1523
2016-11;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;191;9158;47910;54014;1200;4147;769
2016-11;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;303;13803;39635;20998;2198;5721;143
2016-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;266;9991;35416;44346;1218;2536;
2016-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;1223;50757;155870;117521;1300;14162;16341
2016-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;1426;32964;111912;50023;2339;1161;94776
2016-12;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;320;8546;37453;18494;402;3329;77652
2016-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;837;16243;71694;78778;6982;3693;49978
2016-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;841;16129;67456;63899;1398;4149;
2016-12;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;468;17574;76460;108888;1934;490;285
2016-12;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;999;25291;80209;31427;1582;38839;1772
2016-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;449;16407;96723;54822;1099;8095;973
2016-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;479;18514;84078;60293;842;1614;
2017-01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;20;450;3421;2475;16;81;7
2017-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;27;747;2630;1793;37;301;6455
2017-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;36;988;3419;2179;52;231;4841
2017-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;92;1476;5722;5008;103;229;
2017-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;100;1499;6639;1326;116;108;1470
2017-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;126;1851;6779;6151;51;592;1207
