Período;Região;ULS;Entidade;Localização Geográfica;Nº Notícias Nascimento;Nº de Nascer Utente
2023-03;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258497;94;38.0
2023-03;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;197;135.0
2023-03;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, EPE;38.821342, -9.176377;81;26.0
2023-03;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;254;5.0
2023-03;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;69;70.0
2023-03;Região de Saúde LVT;;Hospital Vila Franca de Xira, EPE;38.952565, -8.992398;109;0.0
2023-03;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;310;96.0
2023-03;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;60;46.0
2023-03;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;119;0.0
2023-03;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;28;30.0
2023-04;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;252;70.0
2023-04;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;147;6.0
2023-04;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;17;23.0
2023-05;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;295;0.0
2023-05;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;156;4.0
2023-05;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;34;13.0
2023-05;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;71;66.0
2023-05;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;101;39.0
2023-05;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;76;61.0
2023-05;Região de Saúde Norte;;Hospital de Braga, EPE;41.567781, -8.399268;262;17.0
2023-06;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010595;162;139.0
2023-06;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;224;127.0
2023-06;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;16;22.0
2023-06;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;71;56.0
2023-07;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;54;0.0
2023-07;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;91;98.0
2023-07;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263846;40;0.0
2023-07;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;47;47.0
2023-07;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;174;130.0
2023-07;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258497;0;0.0
2023-07;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;238;160.0
2023-07;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;166;0.0
2023-08;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010595;189;154.0
2023-08;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, EPE;38.821342, -9.176377;77;14.0
2023-08;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;328;9.0
2023-08;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;202;25.0
2023-08;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;115;45.0
2023-08;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258497;0;0.0
2023-08;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;29;3.0
2023-08;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;0;25.0
2023-08;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;117;179.0
2023-09;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258497;0;0.0
2023-09;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;224;69.0
2023-09;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;68;0.0
2023-09;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;0;0.0
2023-09;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;118;0.0
2023-09;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263846;36;0.0
2023-09;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;116;43.0
2023-09;Região Autonoma Açores;;Hospital da Horta;;16;1.0
2023-09;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;111;139.0
2023-10;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;164;1.0
2023-10;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;220;220.0
2023-10;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, EPE;38.821342, -9.176377;54;11.0
2023-10;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;231;0.0
2023-10;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;97;139.0
2023-10;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;137;2.0
2023-10;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;0;102.0
2023-10;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;66;68.0
2023-10;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;225;98.0
2023-10;Região de Saúde LVT;;Hospital Vila Franca de Xira, EPE;38.952565, -8.992398;112;0.0
2023-11;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263846;25;0.0
2023-11;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;82;93.0
2023-11;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;147;1.0
2023-11;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;94;3.0
2023-11;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;82;81.0
2023-11;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;39;11.0
2023-11;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;110;121.0
2023-12;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258497;76;1.0
2023-12;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;104;23.0
2023-12;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010595;78;57.0
2023-12;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;0;59.0
2023-12;Região de Saúde LVT;;Hospital Vila Franca de Xira, EPE;38.952565, -8.992398;93;0.0
2023-12;Região Autonoma Açores;;Hospital da Horta;;13;0.0
2023-12;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;100;98.0
2023-12;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.1831056, -8.6010592;116;0.0
2023-12;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263846;29;0.0
2016-01;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;102;34.0
2016-01;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;99;0.0
2016-01;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;46;41.0
2016-01;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;0;0.0
2016-01;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;106;0.0
2016-01;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;184;76.0
2016-01;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;248;10.0
2016-01;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;0;0.0
2016-01;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;15;7.0
2016-01;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;0;0.0
2016-01;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;0;0.0
2016-01;Região de Saúde Norte;;Hospital de Braga, PPP;41.567781, -8.399268;103;0.0
2016-02;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;100;4.0
2016-02;Região de Saúde do Centro;;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;42;0.0
2016-02;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;264;221.0
2016-02;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;43;0.0
2016-02;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;122;70.0
2016-02;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;115;0.0
2016-02;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;97;113.0
2016-02;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;20;13.0
2016-02;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;24;0.0
2016-02;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;110;55.0
2016-02;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;159;0.0
2016-03;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;145;145.0
2016-03;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;0;18.0
2016-03;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;0;1.0
2016-03;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;117;95.0
2016-03;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;15;0.0
2016-03;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;0;0.0
2016-03;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;0;23.0
2016-03;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;184;117.0
2016-04;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;105;0.0
2016-04;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;0;91.0
2016-04;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;1;110.0
2016-04;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;129;78.0
2016-04;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;92;41.0
2016-04;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;1;0.0
2016-05;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;146;138.0
2016-05;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;206;324.0
2016-05;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;119;83.0
2016-05;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;35;34.0
2016-05;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;134;88.0
2016-05;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;120;98.0
2016-05;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;0;0.0
2016-05;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;287;123.0
2016-05;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;195;83.0
2016-05;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;111;95.0
2016-05;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;0;14.0
2016-06;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;10;0.0
2016-06;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;105;4.0
2016-06;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;103;92.0
2016-06;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;95;38.0
2016-06;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;124;71.0
2016-06;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;116;0.0
2016-06;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;39;20.0
2016-06;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;44;43.0
2016-06;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;0;0.0
2016-06;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;99;0.0
2016-07;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;172;163.0
2016-07;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;57;1.0
2016-07;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;89;0.0
2016-07;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;0;0.0
2016-07;Região de Saúde Norte;;Hospital de Braga, PPP;41.567781, -8.399268;142;3.0
2016-07;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;280;16.0
2016-07;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;150;86.0
2016-07;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;0;135.0
2016-07;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;51;0.0
2016-08;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;0;0.0
2016-08;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;276;274.0
2016-08;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;210;327.0
2016-08;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;0;0.0
2016-08;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;0;166.0
2016-08;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;142;110.0
2016-08;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;163;46.0
2016-08;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;0;174.0
2016-09;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;78;167.0
2016-09;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;251;14.0
2016-09;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;88;0.0
2016-09;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;56;58.0
2016-10;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;140;189.0
2016-10;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;72;1.0
2016-10;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;46;50.0
2016-10;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;114;57.0
2016-10;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;103;79.0
2016-10;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;114;0.0
2016-11;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;189;305.0
2016-11;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;184;200.0
2016-11;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;78;72.0
2016-11;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;156;140.0
2016-11;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;143;72.0
2016-11;Região de Saúde LVT;;Hospital Distrital de Santarém, EPE;39.241184, -8.6958;82;46.0
2016-11;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;172;192.0
2016-11;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;199;185.0
2016-12;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;89;0.0
2016-12;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;106;73.0
2016-12;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;144;84.0
2016-12;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;68;34.0
2016-12;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;188;278.0
2016-12;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;20;32.0
2016-12;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;131;83.0
2016-12;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;0;0.0
2016-12;Região de Saúde Norte;;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;0;130.0
2016-12;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;82;67.0
2017-01;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;95;0.0
2017-01;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;138;24.0
2017-01;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;184;172.0
2017-01;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;192;183.0
2017-01;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;104;97.0
2017-01;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;30;20.0
2017-01;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;0;0.0
2017-02;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;105;78.0
2017-02;Região de Saúde do Alentejo;;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;9;5.0
2017-02;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;122;56.0
2017-02;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;154;140.0
2017-02;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;159;144.0
2017-02;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;108;94.0
2017-02;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;18;28.0
2017-03;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010595;216;200.0
2017-03;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;162;151.0
2017-03;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;49;46.0
2017-03;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;81;65.0
2017-03;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;99;79.0
2017-04;Região de Saúde Norte;;Hospital de Braga, PPP;41.567781, -8.399268;122;43.0
2017-04;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;46;43.0
2017-04;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;111;89.0
2017-04;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;375;256.0
2017-04;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;101;46.0
2017-05;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;138;57.0
2017-05;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;82;68.0
2017-05;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;172;42.0
2017-05;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;24;26.0
2017-05;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;42;36.0
2017-06;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;152;152.0
2017-06;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;194;36.0
2017-06;Região de Saúde LVT;;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;176;0.0
2017-06;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;148;119.0
2017-07;Região de Saúde do Centro;;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;416;331.0
2017-07;Região de Saúde do Centro;;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;23;35.0
2017-07;Região de Saúde LVT;;Centro Hospitalar Barreiro Montijo, EPE;38.6554005, -9.0592392;105;73.0
2017-07;Região de Saúde LVT;;Hospital Vila Franca de Xira, PPP;38.952565, -8.992398;126;0.0
2017-07;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;193;159.0
2017-07;Região de Saúde Norte;;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;77;62.0
2017-07;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;82;69.0
2017-07;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;111;0.0
2017-07;Região de Saúde LVT;;Hospital Garcia de Orta, EPE;38.673379, -9.17602;247;10.0
2017-08;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;138;41.0
2017-08;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;261;266.0
2017-08;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;45;39.0
2017-08;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;102;88.0
2017-08;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;73;1.0
2017-08;Região de Saúde Norte;;Centro Hospitalar de Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;104;64.0
2017-08;Região de Saúde do Centro;;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;54;39.0
2017-08;Região de Saúde Norte;;Centro Hospitalar de Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;123;47.0
2017-09;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010595;84;111.0
2017-09;Região de Saúde Norte;;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;67;293.0
2017-09;Região de Saúde do Algarve;;Centro Hospitalar Universitário do Algarve, EPE;37.15527, -8.539542;245;108.0
2017-09;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;160;11.0
2017-09;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;181;107.0
2017-09;Região de Saúde do Centro;;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;140;76.0
2017-09;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;226;0.0
2017-10;Região de Saúde Norte;;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010595;222;147.0
2017-10;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1831056, -8.6010593;141;97.0
